

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
Frequency (%)
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	1	1	0.0	3	5	3	8	13	8	14	15	6	8	6	9	12	12	6	3	6	11	4	10	5	6	10	7	10	6	5	0.0	10	3	2	2	3	0.0	0.0	1	0.0	0.0	0.0	1	0.0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	6	9	11	8	9	2	11	6	7	7	4	2	6	7	4	1	1	4	6	4	3	7	2	2	3	6	0.0	0.0	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Totals
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102	1	116	81	4	300	33	16	29	159	12	6	0	0	0.0	20	0.0	0.0	3160	77	550	330	23	2589	0	450	0.0	0.0	0	12	4	0.0	48	0.0	0.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20	0.0	0.0	2	280	0	300	100	30	410	73	15	20	0	0	0.0	0.0	0.0	0	0	1495	0	32	61	44	0	397	0	266	0	58	0	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14	24	42	97	43	5	383	291	233	58	59	12	22	0.0	2	70	1722	44	352	0	392	1461	0	100	0	0.0	25	3	8621	150	100	1019	99	0.0	0.0	6	0.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	1	1	0.0	22	51	3	807	1816	81	1110	1405	320	562	153	1099	169	485	64	70	553	1235	895	1287	223	548	319	2204	8707	164	1166	0.0	433	288	137	27	37	0.0	0.0	3	0.0	0.0	0.0	1	0.0
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59	47	1028	307	56	270	25	231	0	0	169	75	100	653	347	613	30	0	4845	105	3385	40	2681	500	128	0	46	0.0	0.0	25	77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	4	2	1	2	2	2	2	2	1	1	0	0	0.0	1	0.0	0.0	5	1	1	3	1	1	0	1	0.0	0.0	0	2	2	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	1	2	0	1	1	1	2	3	1	1	0	0	0.0	0.0	0.0	0	0	1	0	2	2	2	0	2	0	2	0	2	0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	4	3	5	1	4	5	8	3	3	4	1	0.0	1	2	2	3	3	0	5	2	0	1	0	0.0	1	1	2	1	1	2	3	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	1	1	0.0	2	5	2	6	12	4	8	9	3	5	3	7	5	6	3	2	5	8	4	7	3	3	6	4	4	4	4	0.0	9	1	2	2	2	0.0	0.0	1	0.0	0.0	0.0	1	0.0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	4	6	11	4	8	1	7	0	0	5	3	1	4	4	4	1	0	4	2	3	1	5	1	2	0	5	0.0	0.0	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Average Count
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	1.0	29.0	40.5	4.0	150.0	16.5	8.0	14.5	79.5	12.0	6.0	0.0	0.0	0.0	20.0	0.0	0.0	632.0	77.0	550.0	110.0	23.0	2589.0	0.0	450.0	0.0	0.0	0.0	6.0	2.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	2.0	140.0	0.0	300.0	100.0	30.0	205.0	24.333333333333332	15.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1495.0	0.0	16.0	30.5	22.0	0.0	198.5	0.0	133.0	0.0	29.0	0.0	9.333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	24.0	10.5	32.333333333333336	8.6	5.0	95.75	58.2	29.125	19.333333333333332	19.666666666666668	3.0	22.0	0.0	2.0	35.0	861.0	14.666666666666666	117.33333333333333	0.0	78.4	730.5	0.0	100.0	0.0	0.0	25.0	3.0	4310.5	150.0	100.0	509.5	33.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	1.0	1.0	0.0	11.0	10.2	1.5	134.5	151.33333333333334	20.25	138.75	156.11111111111111	106.66666666666667	112.4	51.0	157.0	33.8	80.83333333333333	21.333333333333332	35.0	110.6	154.375	223.75	183.85714285714286	74.33333333333333	182.66666666666666	53.166666666666664	551.0	2176.75	41.0	291.5	0.0	48.111111111111114	288.0	68.5	13.5	18.5	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.666666666666668	11.75	171.33333333333334	27.90909090909091	14.0	33.75	25.0	33.0	0.0	0.0	33.8	25.0	100.0	163.25	86.75	153.25	30.0	0.0	1211.25	52.5	1128.3333333333333	40.0	536.2	500.0	64.0	0.0	9.2	0.0	0.0	8.333333333333334	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	4	2	1	2	2	2	2	2	1	1	0	0	0.0	1	0.0	0.0	5	1	1	3	1	1	0	1	0.0	0.0	0	2	2	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	1	2	0	1	1	1	2	3	1	1	0	0	0.0	0.0	0.0	0	0	1	0	2	2	2	0	2	0	2	0	2	0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	4	3	5	1	4	5	8	3	3	4	1	0.0	1	2	2	3	3	0	5	2	0	1	0	0.0	1	1	2	1	1	2	3	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	1	1	0.0	2	5	2	6	12	4	8	9	3	5	3	7	5	6	3	2	5	8	4	7	3	3	6	4	4	4	4	0.0	9	1	2	2	2	0.0	0.0	1	0.0	0.0	0.0	1	0.0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	4	6	11	4	8	1	7	0	0	5	3	1	4	4	4	1	0	4	2	3	1	5	1	2	0	5	0.0	0.0	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
